Pollutant,LAT,LONG
NO2,17.4675,78.3325
NO2,17.5925,78.3675
NO2,17.4725,78.3275
NO2,17.4825,78.8225
NO2,17.5175,78.3225
NO2,17.6625,78.62251
NO2,17.5825,78.37251
NO2,17.5975,78.3875
NO2,17.5925,78.37251
NO2,17.5025,78.8675
NO2,17.5875,78.3825
NO2,17.6125,78.3875
NO2,17.4975,78.87251
NO2,17.4875,78.8175
NO2,17.5925,78.3875
NO2,17.4975,78.8775
NO2,17.5725,78.3325
NO2,17.5025,78.87251
NO2,17.5025,78.8875
NO2,17.4925,78.8325
NO2,17.5025,78.8625
NO2,17.5125,78.8975
NO2,17.4825,78.8175
NO2,17.4675,78.3075
NO2,17.5825,78.3825
NO2,17.5025,78.8775
NO2,17.5275,78.3375
NO2,17.5325,78.3475
NO2,17.5275,78.3425
NO2,17.5375,78.3425
NO2,17.5875,78.3675
NO2,17.5225,78.3175
NO2,17.4975,78.8825
NO2,17.5225,78.9025
NO2,17.6625,78.6175
NO2,17.5075,78.3425
NO2,17.4775,78.8175
NO2,17.4975,78.8875
NO2,17.5075,78.3475
NO2,17.5325,78.3375
NO2,17.5075,78.8875
NO2,17.5175,78.8975
NO2,17.5975,78.3775
NO2,17.5075,78.8775
NO2,17.5525,78.3325
NO2,17.4675,78.30251
NO2,17.5025,78.8925
NO2,17.5825,78.3775
NO2,17.5325,78.3425
NO2,17.5275,78.8975
NO2,17.5125,78.3475
NO2,17.5175,78.3375
NO2,17.5875,78.3875
NO2,17.4725,78.3175
NO2,17.5425,78.3925
NO2,17.4975,78.8625
NO2,17.6625,78.6125
NO2,17.6275,78.4875
NO2,17.5725,78.4175
NO2,17.5775,78.42751
NO2,17.5225,78.3375
NO2,17.5875,78.3775
NO2,17.4675,78.80251
NO2,17.5225,78.3425
NO2,17.6625,78.60751
NO2,17.4675,78.7925
NO2,17.6225,78.5675
NO2,17.4725,78.3325
NO2,17.6425,78.4875
NO2,17.5825,78.4325
NO2,17.4625,78.3125
NO2,17.6225,78.5725
NO2,17.3775,78.3325
NO2,17.4775,78.3275
NO2,17.5425,78.4025
NO2,17.5475,78.4025
NO2,17.4675,78.78751
NO2,17.2275,78.9625
NO2,17.2525,78.8875
NO2,17.4825,78.2975
NO2,17.4675,78.3375
NO2,17.4625,78.30251
NO2,17.5125,78.3425
NO2,17.5075,78.3375
NO2,17.5775,78.4175
NO2,17.6025,78.5675
NO2,17.4625,78.3175
NO2,17.5125,78.8925
NO2,17.2475,78.8875
NO2,17.6225,78.5625
NO2,17.5525,78.42751
NO2,17.2425,78.92751
NO2,17.4975,78.5325
NO2,17.4725,78.3075
NO2,17.2325,78.9625
NO2,17.5775,78.3775
